Date/Time,Media Description,Media Link
"You uploaded a video on February 12, 2026 at 11:00 AM (GMT)", -,https://dms.licdn.com/playlist/vid/v2/D4D12AQG8JEfzlFxqaw/mp4-720p-30fp-crf28/B4DZxRgqzgKMAs-/0/1770894050497?e=1772668800&v=beta&t=Qg1kecVRiuO8bAf24rZJ4LlUhMiAYncCS4_WyA75hJI
"You uploaded a video on February 8, 2026 at 9:43 AM (GMT)", -,https://dms.licdn.com/playlist/vid/dynamic/D4E05AQHHvBMxc6dXjg/BAQZMT_k58?e=1771851600&v=beta&t=-YPjm0zeciReSEW1IvHGU0X_V6Nkmy7nbdl4EIyJTEM
"You uploaded a video on February 7, 2026 at 12:25 PM (GMT)", -,https://dms.licdn.com/playlist/vid/dynamic/D4E05AQEvlzb3LIzpWw/BAQtRpNw50?e=1771851600&v=beta&t=trFfrKFBVqrlfTG3TJkNfVMTiM62pqN2ujb6v12nbVs
"You uploaded a feed photo on February 7, 2026 at 12:03 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D4E22AQGaPu035OGffA/feedshare-shrink_20/B4EZw3_GbxIMAM-/0/1770465814635?e=1772668800&v=beta&t=e8IMCOX1m2omEOdbgMU6Ycp8jK7fRquvo2s_4HhNVmU
"You uploaded a feed photo on February 6, 2026 at 9:54 AM (GMT)", -,https://media.licdn.com/dms/image/v2/D4D22AQEy34OLIddzTA/feedshare-shrink_480/B4DZwyYAdyGQA8-/0/1770371680426?e=1772668800&v=beta&t=qdNAhtGyo3mFOrvTqURJGcXzpAeaUQI5wAdqVJaS0vg
"You uploaded a article cover photo on November 23, 2025 at 7:55 AM (GMT)", -,https://media.licdn.com/dms/image/v2/D4E12AQHkrsgVP89uSg/article-cover_image-shrink_720_1280/B4EZqvtmBGIIAI-/0/1763884557021?e=1772668800&v=beta&t=VrlwQh3gwTToULHTxIwDGP66MaRGlPAHc_4PGFh-qbs
"You uploaded a feed photo on November 22, 2025 at 6:22 AM (GMT)", -,https://media.licdn.com/dms/image/v2/D4E22AQH5Paa7ahnkbw/feedshare-shrink_2048_1536/B4EZqqOhfkIUA4-/0/1763792525925?e=1772668800&v=beta&t=MtiQqflrYs3ryAVJwLg8tb_HMbtPZw4SXzKZ2At8ems
"You uploaded a feed photo on August 11, 2025 at 11:59 AM (GMT)", -,https://media.licdn.com/dms/image/v2/D4E22AQFthFmkBSsj0g/feedshare-shrink_2048_1536/B4EZiY_.KvHIAo-/0/1754913570740?e=1772668800&v=beta&t=ktgB9SQu9Yrdc0Skukxu5vkdmTU52wyGazCxI3rTsAU
"You uploaded a photo on August 6, 2025 at 3:19 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D4D2DAQEq1zuBETkEzg/profile-treasury-image-shrink_1280_1280/B4DZh_91RyHYAg-/0/1754493572923?e=1771851600&v=beta&t=oENbYm9-Cmab-4_iwssHaR0eV7Vk8NtwDqePQFvjfb8
"You uploaded a photo on August 6, 2025 at 3:17 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D4D2DAQHOlqstUd7oDg/profile-treasury-image-shrink_8192_8192/B4DZh_9TNpHsAk-/0/1754493433097?e=1771851600&v=beta&t=TM9o1rePMZxucK3wOMvH2ylYcoWWMdUjc13CBlS_Z9M
"You uploaded a feed photo on July 28, 2025 at 11:27 AM (GMT)", -,https://media.licdn.com/dms/image/v2/D4E22AQF08G0PBGM2cw/feedshare-shrink_160/B4EZhQyYM1GcAo-/0/1753702046259?e=1772668800&v=beta&t=U4G2wDwB-qDlDfElxmKdU8UBf5xLgcinJctW6biUOh4
"You uploaded a feed photo on June 18, 2025 at 12:18 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D4E22AQHJYeq1gTvtGw/feedshare-shrink_1280/B4EZeC.cEkHsAo-/0/1750249099644?e=1772668800&v=beta&t=gFroAYgLSNcdjTrFPfvxz3wcpNqVKjLyTZRMsWbB1J4
"You uploaded a photo on June 12, 2025 at 1:12 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D4E2DAQFD-pySh-6WFw/profile-treasury-image-shrink_8192_8192/B4EZdkRN8DGwAk-/0/1749733926499?e=1771851600&v=beta&t=wDoLVHu456TmRdkPmAbVD-McSrbi8eox37yPg8rkXho
"You uploaded a photo on June 12, 2025 at 12:07 AM (GMT)", -,https://media.licdn.com/dms/image/v2/D4E2DAQEnWnciVS-Fmw/profile-treasury-image-shrink_8192_8192/B4EZdhdvGtGcAo-/0/1749686875343?e=1771851600&v=beta&t=5uu0Mah2iDzJkbJsmffvy9RW4nEdwzH0ZrZhkjw3XCk
"You uploaded a photo on June 10, 2025 at 10:48 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D4E2DAQEYGo9zl4YVgw/profile-treasury-image-shrink_8192_8192/B4EZdcCD30HgAg-/0/1749595733967?e=1771851600&v=beta&t=MSniheizrPMdiP0jz8bGxAa40CIl6b4HWszISyzP8pQ
